study,tag,result_path,excerpt_path,agent_verdict,agent_answer,llm_judge_verdict,your_grade,notes
study3,1985_B5__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__b__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__b__r0/prompt.md,,,match,,
study3,2006_A1__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__forced__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/2006_A1__forced__r1/prompt.md,,,match,,
study5,1996_B2__false__forced_textual__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1996_B2__false__forced_textual__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1996_B2__false__forced_textual__r1/prompt.md,incorrect,((2n-1)/e)^{(2n-1)/2} < 1·3·5···(2n-1) < ((2n+1)/e)^{(2n+1)/2},,,
study3,1985_B5__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__b__r1,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1985_B5__b__r1/prompt.md,,,match,,
study3,1993_A1__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__vizprimed__r2,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1993_A1__vizprimed__r2/prompt.md,,,match,,
study5,1991_A5__true__forced_visual__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1991_A5__true__forced_visual__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1991_A5__true__forced_visual__r0/prompt.md,correct,1/3,,,
study3,1991_A5__vizprimed__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__vizprimed__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1991_A5__vizprimed__r0/prompt.md,,,match,,
study5,1993_A1__true__forced_visual__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1993_A1__true__forced_visual__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1993_A1__true__forced_visual__r0/prompt.md,correct,c = 4/9,,,
study3,1996_B2__forced__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__forced__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/forced_viz/results/1996_B2__forced__r0/prompt.md,,,match,,
study5,1993_A1__false__forced_reflection__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1993_A1__false__forced_reflection__r0,/Users/silveregangloff/Desktop/graphical-reasoning/experiments/false_claim/results/1993_A1__false__forced_reflection__r0/prompt.md,incorrect,c = 4/9,,,
